#,Word,Count,Percent,Letters
1,your,426,1.30%,4
2,will,327,1.00%,4
3,jehovah,306,1.60%,7
4,that,277,0.80%,4
5,with,260,0.80%,4
6,love,242,0.70%,4
7,chorus,211,1.00%,6
8,when,172,0.50%,4
9,what,165,0.50%,4
10,also,153,0.50%,4
11,give,147,0.40%,4
12,from,138,0.40%,4
13,gods,135,0.40%,4
14,this,125,0.40%,4
15,heart,123,0.50%,5
16,know,122,0.40%,4
17,life,121,0.40%,4
18,they,120,0.40%,4
19,have,112,0.30%,4
20,things,107,0.50%,6
21,make,104,0.30%,4
22,help,94,0.30%,4
23,word,93,0.30%,4
24,name,92,0.30%,4
25,time,92,0.30%,4
26,never,90,0.30%,5
27,come,88,0.30%,4
28,need,88,0.30%,4
29,praise,88,0.40%,6
30,keep,85,0.30%,4
31,there,85,0.30%,5
32,kingdom,84,0.40%,7
33,well,80,0.20%,4
34,them,78,0.20%,4
35,were,78,0.20%,4
36,just,75,0.20%,4
37,take,75,0.20%,4
38,true,74,0.20%,4
39,jehovahs,72,0.40%,8
40,their,71,0.30%,5
41,truth,69,0.30%,5
42,good,67,0.20%,4
43,peace,67,0.30%,5
44,each,66,0.20%,4
45,faith,65,0.20%,5
46,evry,58,0.20%,4
47,right,56,0.20%,5
48,through,54,0.30%,7
49,want,53,0.20%,4
50,always,52,0.20%,6
51,here,51,0.20%,4
52,loyal,51,0.20%,5
53,show,51,0.20%,4
54,strong,51,0.20%,6
55,care,50,0.20%,4
56,live,50,0.20%,4
57,then,50,0.20%,4
58,sing,49,0.10%,4
59,those,49,0.20%,5
60,feel,48,0.10%,4
61,lets,48,0.10%,4
62,hear,47,0.10%,4
63,more,47,0.10%,4
64,bring,46,0.20%,5
65,down,45,0.10%,4
66,find,45,0.10%,4
67,look,45,0.10%,4
68,ones,45,0.10%,4
69,people,45,0.20%,6
70,world,45,0.20%,5
71,father,44,0.20%,6
72,hope,44,0.10%,4
73,like,44,0.10%,4
74,though,44,0.20%,6
75,prayer,42,0.20%,6
76,youre,42,0.20%,5
77,words,41,0.20%,5
78,could,40,0.20%,5
79,friend,40,0.20%,6
80,jesus,40,0.20%,5
81,dont,39,0.10%,4
82,earth,39,0.10%,5
83,fear,39,0.10%,4
84,great,39,0.10%,5
85,best,38,0.10%,4
86,hearts,38,0.20%,6
87,news,38,0.10%,4
88,pray,38,0.10%,4
89,work,38,0.10%,4
90,done,37,0.10%,4
91,ever,37,0.10%,4
92,light,37,0.10%,5
93,serve,37,0.10%,5
94,faithful,36,0.20%,8
95,john,36,0.10%,4
96,strength,36,0.20%,8
97,thats,36,0.10%,5
98,friends,35,0.20%,7
99,spirit,35,0.20%,6
100,stand,35,0.10%,5
101,above,34,0.10%,5
102,share,34,0.10%,5
103,these,34,0.10%,5
